X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
b,21.83,0.25,u,g,d,h,0.665,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
a,19.17,8.585,u,g,cc,h,0.75,FALSE,FALSE,07,FALSE,g,00096,0,TRUE
b,25.00,11.25,u,g,c,v,2.5,FALSE,FALSE,17,FALSE,g,00200,1208,TRUE
b,23.25,1,u,g,c,v,0.835,FALSE,FALSE,0,FALSE,s,00300,0,TRUE
a,47.75,8,u,g,c,v,7.875,FALSE,FALSE,06,FALSE,g,00000,1260,TRUE
a,27.42,14.5,u,g,x,h,3.085,FALSE,FALSE,01,FALSE,g,00120,11,TRUE
a,41.17,6.5,u,g,q,v,0.5,FALSE,FALSE,03,FALSE,g,00145,0,TRUE
a,15.83,0.585,u,g,c,h,1.5,FALSE,FALSE,02,FALSE,g,00100,0,TRUE
a,47.00,13,u,g,i,bb,5.165,FALSE,FALSE,09,FALSE,g,00000,0,TRUE
b,56.58,18.5,u,g,d,bb,15,FALSE,FALSE,17,FALSE,g,00000,0,TRUE
b,57.42,8.5,u,g,e,h,7,FALSE,FALSE,03,FALSE,g,00000,0,TRUE
b,42.08,1.04,u,g,w,v,5,FALSE,FALSE,06,FALSE,g,00500,10000,TRUE
b,29.25,14.79,u,g,aa,v,5.04,FALSE,FALSE,05,FALSE,g,00168,0,TRUE
b,42.00,9.79,u,g,x,h,7.96,FALSE,FALSE,08,FALSE,g,00000,0,TRUE
b,49.50,7.585,u,g,i,bb,7.585,FALSE,FALSE,15,FALSE,g,00000,5000,TRUE
a,36.75,5.125,u,g,e,v,5,FALSE,FALSE,0,FALSE,g,00000,4000,TRUE
a,22.58,10.75,u,g,q,v,0.415,FALSE,FALSE,05,FALSE,g,00000,560,TRUE
b,27.83,1.5,u,g,w,v,2,FALSE,FALSE,11,FALSE,g,00434,35,TRUE
b,27.25,1.585,u,g,cc,h,1.835,FALSE,FALSE,12,FALSE,g,00583,713,TRUE
a,23.00,11.75,u,g,x,h,0.5,FALSE,FALSE,02,FALSE,g,00300,551,TRUE
b,27.75,0.585,y,p,cc,v,0.25,FALSE,FALSE,02,FALSE,g,00260,500,TRUE
b,54.58,9.415,u,g,ff,ff,14.415,FALSE,FALSE,11,FALSE,g,00030,300,TRUE
b,34.17,9.17,u,g,c,v,4.5,FALSE,FALSE,12,FALSE,g,00000,221,TRUE
b,28.92,15,u,g,c,h,5.335,FALSE,FALSE,11,FALSE,g,00000,2283,TRUE
b,29.67,1.415,u,g,w,h,0.75,FALSE,FALSE,01,FALSE,g,00240,100,TRUE
b,39.58,13.915,u,g,w,v,8.625,FALSE,FALSE,06,FALSE,g,00070,0,TRUE
b,56.42,28,y,p,c,v,28.5,FALSE,FALSE,40,FALSE,g,00000,15,TRUE
b,54.33,6.75,u,g,c,h,2.625,FALSE,FALSE,11,FALSE,g,00000,284,TRUE
a,41.00,2.04,y,p,q,h,0.125,FALSE,FALSE,23,FALSE,g,00455,1236,TRUE
b,31.92,4.46,u,g,cc,h,6.04,FALSE,FALSE,03,FALSE,g,00311,300,TRUE
b,41.50,1.54,u,g,i,bb,3.5,FALSE,FALSE,0,FALSE,g,00216,0,TRUE
b,23.92,0.665,u,g,c,v,0.165,FALSE,FALSE,0,FALSE,g,00100,0,TRUE
a,25.75,0.5,u,g,c,h,0.875,FALSE,FALSE,0,FALSE,g,00491,0,TRUE
b,26.00,1,u,g,q,v,1.75,FALSE,FALSE,0,FALSE,g,00280,0,TRUE
b,37.42,2.04,u,g,w,v,0.04,FALSE,FALSE,0,FALSE,g,00400,5800,TRUE
b,34.92,2.5,u,g,w,v,0,FALSE,FALSE,0,FALSE,g,00239,200,TRUE
b,34.25,3,u,g,cc,h,7.415,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,23.33,11.625,y,p,w,v,0.835,FALSE,FALSE,0,FALSE,g,00160,300,TRUE
b,23.17,0,u,g,cc,v,0.085,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,44.33,0.5,u,g,i,h,5,FALSE,FALSE,0,FALSE,g,00320,0,TRUE
b,35.17,4.5,u,g,x,h,5.75,FALSE,FALSE,0,FALSE,s,00711,0,TRUE
b,43.25,3,u,g,q,h,6,FALSE,FALSE,11,FALSE,g,00080,0,TRUE
b,56.75,12.25,u,g,m,v,1.25,FALSE,FALSE,04,FALSE,g,00200,0,TRUE
b,31.67,16.165,u,g,d,v,3,FALSE,FALSE,09,FALSE,g,00250,730,TRUE
a,23.42,0.79,y,p,q,v,1.5,FALSE,FALSE,02,FALSE,g,00080,400,TRUE
a,20.42,0.835,u,g,q,v,1.585,FALSE,FALSE,01,FALSE,g,00000,0,TRUE
b,26.67,4.25,u,g,cc,v,4.29,FALSE,FALSE,01,FALSE,g,00120,0,TRUE
b,34.17,1.54,u,g,cc,v,1.54,FALSE,FALSE,01,FALSE,g,00520,50000,TRUE
a,36.00,1,u,g,c,v,2,FALSE,FALSE,11,FALSE,g,00000,456,TRUE
b,25.50,0.375,u,g,m,v,0.25,FALSE,FALSE,03,FALSE,g,00260,15108,TRUE
b,19.42,6.5,u,g,w,h,1.46,FALSE,FALSE,07,FALSE,g,00080,2954,TRUE
b,35.17,25.125,u,g,x,h,1.625,FALSE,FALSE,01,FALSE,g,00515,500,TRUE
b,32.33,7.5,u,g,e,bb,1.585,FALSE,FALSE,0,FALSE,s,00420,0,FALSE
a,38.58,5,u,g,cc,v,13.5,FALSE,FALSE,0,FALSE,g,00980,0,FALSE
b,44.25,0.5,u,g,m,v,10.75,FALSE,FALSE,0,FALSE,s,00400,0,FALSE
b,44.83,7,y,p,c,v,1.625,FALSE,FALSE,0,FALSE,g,00160,2,FALSE
b,20.67,5.29,u,g,q,v,0.375,FALSE,FALSE,01,FALSE,g,00160,0,FALSE
b,34.08,6.5,u,g,aa,v,0.125,FALSE,FALSE,0,FALSE,g,00443,0,FALSE
a,19.17,0.585,y,p,aa,v,0.585,FALSE,FALSE,0,FALSE,g,00160,0,FALSE
b,21.67,1.165,y,p,k,v,2.5,FALSE,FALSE,01,FALSE,g,00180,20,FALSE
b,21.50,9.75,u,g,c,v,0.25,FALSE,FALSE,0,FALSE,g,00140,0,FALSE
b,49.58,19,u,g,ff,ff,0,FALSE,FALSE,01,FALSE,g,00094,0,FALSE
a,27.67,1.5,u,g,m,v,2,FALSE,FALSE,0,FALSE,s,00368,0,FALSE
b,39.83,0.5,u,g,m,v,0.25,FALSE,FALSE,0,FALSE,s,00288,0,FALSE
b,27.25,0.625,u,g,aa,v,0.455,FALSE,FALSE,0,FALSE,g,00200,0,FALSE
b,37.17,4,u,g,c,bb,5,FALSE,FALSE,0,FALSE,s,00280,0,FALSE
b,25.67,2.21,y,p,aa,v,4,FALSE,FALSE,0,FALSE,g,00188,0,FALSE
b,34.00,4.5,u,g,aa,v,1,FALSE,FALSE,0,FALSE,g,00240,0,FALSE
a,49.00,1.5,u,g,j,j,0,FALSE,FALSE,0,FALSE,g,00100,27,FALSE
b,62.50,12.75,y,p,c,h,5,FALSE,FALSE,0,FALSE,g,00112,0,FALSE
b,31.42,15.5,u,g,c,v,0.5,FALSE,FALSE,0,FALSE,g,00120,0,FALSE
b,52.33,1.375,y,p,c,h,9.46,FALSE,FALSE,0,FALSE,g,00200,100,FALSE
b,28.75,1.5,y,p,c,v,1.5,FALSE,FALSE,0,FALSE,g,00000,225,FALSE
a,28.58,3.54,u,g,i,bb,0.5,FALSE,FALSE,0,FALSE,g,00171,0,FALSE
b,23.00,0.625,y,p,aa,v,0.125,FALSE,FALSE,0,FALSE,g,00180,1,FALSE
a,22.50,11,y,p,q,v,3,FALSE,FALSE,0,FALSE,g,00268,0,FALSE
a,28.50,1,u,g,q,v,1,FALSE,FALSE,02,FALSE,g,00167,500,FALSE
b,37.50,1.75,y,p,c,bb,0.25,FALSE,FALSE,0,FALSE,g,00164,400,FALSE
b,35.25,16.5,y,p,c,v,4,FALSE,FALSE,0,FALSE,g,00080,0,FALSE
b,18.67,5,u,g,q,v,0.375,FALSE,FALSE,02,FALSE,g,00000,38,FALSE
b,25.00,12,u,g,k,v,2.25,FALSE,FALSE,02,FALSE,g,00120,5,FALSE
b,27.83,4,y,p,i,h,5.75,FALSE,FALSE,02,FALSE,g,00075,0,FALSE
b,54.83,15.5,u,g,e,z,0,FALSE,FALSE,20,FALSE,g,00152,130,FALSE
b,28.75,1.165,u,g,k,v,0.5,FALSE,FALSE,0,FALSE,s,00280,0,FALSE
a,25.00,11,y,p,aa,v,4.5,FALSE,FALSE,0,FALSE,g,00120,0,FALSE
b,40.92,2.25,y,p,x,h,10,FALSE,FALSE,0,FALSE,g,00176,0,FALSE
a,19.75,0.75,u,g,c,v,0.795,FALSE,FALSE,05,FALSE,g,00140,5,FALSE
b,29.17,3.5,u,g,w,v,3.5,FALSE,FALSE,03,FALSE,g,00329,0,FALSE
a,24.50,1.04,y,p,ff,ff,0.5,FALSE,FALSE,03,FALSE,g,00180,147,FALSE
b,24.58,12.5,u,g,w,v,0.875,FALSE,FALSE,0,FALSE,g,00260,0,FALSE
a,33.75,0.75,u,g,k,bb,1,FALSE,FALSE,03,FALSE,g,00212,0,FALSE
b,20.67,1.25,y,p,c,h,1.375,FALSE,FALSE,03,FALSE,g,00140,210,FALSE
a,25.42,1.125,u,g,q,v,1.29,FALSE,FALSE,02,FALSE,g,00200,0,FALSE
b,37.75,7,u,g,q,h,11.5,FALSE,FALSE,07,FALSE,g,00300,5,FALSE
b,52.50,6.5,u,g,k,v,6.29,FALSE,FALSE,15,FALSE,g,00000,11202,TRUE
b,57.83,7.04,u,g,m,v,14,FALSE,FALSE,06,FALSE,g,00360,1332,TRUE
a,20.75,10.335,u,g,cc,h,0.335,FALSE,FALSE,01,FALSE,g,00080,50,TRUE
b,39.92,6.21,u,g,q,v,0.04,FALSE,FALSE,01,FALSE,g,00200,300,TRUE
b,25.67,12.5,u,g,cc,v,1.21,FALSE,FALSE,67,FALSE,g,00140,258,TRUE
a,24.75,12.5,u,g,aa,v,1.5,FALSE,FALSE,12,FALSE,g,00120,567,TRUE
a,44.17,6.665,u,g,q,v,7.375,FALSE,FALSE,03,FALSE,g,00000,0,TRUE
a,23.50,9,u,g,q,v,8.5,FALSE,FALSE,05,FALSE,g,00120,0,TRUE
b,34.92,5,u,g,x,h,7.5,FALSE,FALSE,06,FALSE,g,00000,1000,TRUE
b,47.67,2.5,u,g,m,bb,2.5,FALSE,FALSE,12,FALSE,g,00410,2510,TRUE
b,22.75,11,u,g,q,v,2.5,FALSE,FALSE,07,FALSE,g,00100,809,TRUE
b,34.42,4.25,u,g,i,bb,3.25,FALSE,FALSE,02,FALSE,g,00274,610,TRUE
a,28.42,3.5,u,g,w,v,0.835,FALSE,FALSE,0,FALSE,s,00280,0,TRUE
b,67.75,5.5,u,g,e,z,13,FALSE,FALSE,01,FALSE,g,00000,0,TRUE
b,20.42,1.835,u,g,c,v,2.25,FALSE,FALSE,01,FALSE,g,00100,150,TRUE
a,47.42,8,u,g,e,bb,6.5,FALSE,FALSE,06,FALSE,g,00375,51100,TRUE
b,36.25,5,u,g,c,bb,2.5,FALSE,FALSE,06,FALSE,g,00000,367,TRUE
b,32.67,5.5,u,g,q,h,5.5,FALSE,FALSE,12,FALSE,g,00408,1000,TRUE
b,48.58,6.5,u,g,q,h,6,FALSE,FALSE,0,FALSE,g,00350,0,TRUE
b,39.92,0.54,y,p,aa,v,0.5,FALSE,FALSE,03,FALSE,g,00200,1000,TRUE
b,33.58,2.75,u,g,m,v,4.25,FALSE,FALSE,06,FALSE,g,00204,0,TRUE
a,18.83,9.5,u,g,w,v,1.625,FALSE,FALSE,06,FALSE,g,00040,600,TRUE
a,26.92,13.5,u,g,q,h,5,FALSE,FALSE,02,FALSE,g,00000,5000,TRUE
a,31.25,3.75,u,g,cc,h,0.625,FALSE,FALSE,09,FALSE,g,00181,0,TRUE
a,56.50,16,u,g,j,ff,0,FALSE,FALSE,15,FALSE,g,00000,247,TRUE
b,43.00,0.29,y,p,cc,h,1.75,FALSE,FALSE,08,FALSE,g,00100,375,TRUE
b,22.33,11,u,g,w,v,2,FALSE,FALSE,01,FALSE,g,00080,278,TRUE
b,27.25,1.665,u,g,cc,h,5.085,FALSE,FALSE,09,FALSE,g,00399,827,TRUE
b,32.83,2.5,u,g,cc,h,2.75,FALSE,FALSE,06,FALSE,g,00160,2072,TRUE
b,23.25,1.5,u,g,q,v,2.375,FALSE,FALSE,03,FALSE,g,00000,582,TRUE
a,40.33,7.54,y,p,q,h,8,FALSE,FALSE,14,FALSE,g,00000,2300,TRUE
a,30.50,6.5,u,g,c,bb,4,FALSE,FALSE,07,FALSE,g,00000,3065,TRUE
a,52.83,15,u,g,c,v,5.5,FALSE,FALSE,14,FALSE,g,00000,2200,TRUE
a,46.67,0.46,u,g,cc,h,0.415,FALSE,FALSE,11,FALSE,g,00440,6,TRUE
a,58.33,10,u,g,q,v,4,FALSE,FALSE,14,FALSE,g,00000,1602,TRUE
b,37.33,6.5,u,g,m,h,4.25,FALSE,FALSE,12,FALSE,g,00093,0,TRUE
b,23.08,2.5,u,g,c,v,1.085,FALSE,FALSE,11,FALSE,g,00060,2184,TRUE
b,32.75,1.5,u,g,cc,h,5.5,FALSE,FALSE,03,FALSE,g,00000,0,TRUE
a,21.67,11.5,y,p,j,j,0,FALSE,FALSE,11,FALSE,g,00000,0,TRUE
a,28.50,3.04,y,p,x,h,2.54,FALSE,FALSE,01,FALSE,g,00070,0,TRUE
a,68.67,15,u,g,e,z,0,FALSE,FALSE,14,FALSE,g,00000,3376,TRUE
b,28.00,2,u,g,k,h,4.165,FALSE,FALSE,02,FALSE,g,00181,0,TRUE
b,34.08,0.08,y,p,m,bb,0.04,FALSE,FALSE,01,FALSE,g,00280,2000,TRUE
b,27.67,2,u,g,x,h,1,FALSE,FALSE,04,FALSE,g,00140,7544,TRUE
b,44.00,2,u,g,m,v,1.75,FALSE,FALSE,02,FALSE,g,00000,15,TRUE
b,25.08,1.71,u,g,x,v,1.665,FALSE,FALSE,01,FALSE,g,00395,20,TRUE
b,32.00,1.75,y,p,e,h,0.04,FALSE,FALSE,0,FALSE,g,00393,0,TRUE
a,60.58,16.5,u,g,q,v,11,FALSE,FALSE,0,FALSE,g,00021,10561,TRUE
a,40.83,10,u,g,q,h,1.75,FALSE,FALSE,0,FALSE,g,00029,837,TRUE
b,19.33,9.5,u,g,q,v,1,FALSE,FALSE,0,FALSE,g,00060,400,TRUE
a,32.33,0.54,u,g,cc,v,0.04,FALSE,FALSE,0,FALSE,g,00440,11177,TRUE
b,36.67,3.25,u,g,q,h,9,FALSE,FALSE,0,FALSE,g,00102,639,TRUE
b,37.50,1.125,y,p,d,v,1.5,FALSE,FALSE,0,FALSE,g,00431,0,TRUE
a,25.08,2.54,y,p,aa,v,0.25,FALSE,FALSE,0,FALSE,g,00370,0,TRUE
b,41.33,0,u,g,c,bb,15,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,56.00,12.5,u,g,k,h,8,FALSE,FALSE,0,FALSE,g,00024,2028,TRUE
a,49.83,13.585,u,g,k,h,8.5,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,22.67,10.5,u,g,q,h,1.335,FALSE,FALSE,0,FALSE,g,00100,0,TRUE
b,27.00,1.5,y,p,w,v,0.375,FALSE,FALSE,0,FALSE,g,00260,1065,TRUE
b,25.00,12.5,u,g,aa,v,3,FALSE,FALSE,0,FALSE,s,00020,0,TRUE
a,26.08,8.665,u,g,aa,v,1.415,FALSE,FALSE,0,FALSE,g,00160,150,TRUE
a,18.42,9.25,u,g,q,v,1.21,FALSE,FALSE,04,FALSE,g,00060,540,TRUE
b,20.17,8.17,u,g,aa,v,1.96,FALSE,FALSE,14,FALSE,g,00060,158,TRUE
b,47.67,0.29,u,g,c,bb,15,FALSE,FALSE,20,FALSE,g,00000,15000,TRUE
a,21.25,2.335,u,g,i,bb,0.5,FALSE,FALSE,04,FALSE,s,00080,0,TRUE
a,20.67,3,u,g,q,v,0.165,FALSE,FALSE,03,FALSE,g,00100,6,TRUE
a,57.08,19.5,u,g,c,v,5.5,FALSE,FALSE,07,FALSE,g,00000,3000,TRUE
a,22.42,5.665,u,g,q,v,2.585,FALSE,FALSE,07,FALSE,g,00129,3257,TRUE
b,48.75,8.5,u,g,c,h,12.5,FALSE,FALSE,09,FALSE,g,00181,1655,TRUE
b,40.00,6.5,u,g,aa,bb,3.5,FALSE,FALSE,01,FALSE,g,00000,500,TRUE
b,40.58,5,u,g,c,v,5,FALSE,FALSE,07,FALSE,g,00000,3065,TRUE
a,28.67,1.04,u,g,c,v,2.5,FALSE,FALSE,05,FALSE,g,00300,1430,TRUE
a,33.08,4.625,u,g,q,h,1.625,FALSE,FALSE,02,FALSE,g,00000,0,TRUE
b,21.33,10.5,u,g,c,v,3,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,42.00,0.205,u,g,i,h,5.125,FALSE,FALSE,0,FALSE,g,00400,0,TRUE
b,41.75,0.96,u,g,x,v,2.5,FALSE,FALSE,0,FALSE,g,00510,600,TRUE
b,22.67,1.585,y,p,w,v,3.085,FALSE,FALSE,06,FALSE,g,00080,0,TRUE
b,34.50,4.04,y,p,i,bb,8.5,FALSE,FALSE,07,FALSE,g,00195,0,TRUE
b,28.25,5.04,y,p,c,bb,1.5,FALSE,FALSE,08,FALSE,g,00144,7,TRUE
b,33.17,3.165,y,p,x,v,3.165,FALSE,FALSE,03,FALSE,g,00380,0,TRUE
b,48.17,7.625,u,g,w,h,15.5,FALSE,FALSE,12,FALSE,g,00000,790,TRUE
b,27.58,2.04,y,p,aa,v,2,FALSE,FALSE,03,FALSE,g,00370,560,TRUE
b,22.58,10.04,u,g,x,v,0.04,FALSE,FALSE,09,FALSE,g,00060,396,TRUE
a,24.08,0.5,u,g,q,h,1.25,FALSE,FALSE,01,FALSE,g,00000,678,TRUE
a,41.33,1,u,g,i,bb,2.25,FALSE,FALSE,0,FALSE,g,00000,300,TRUE
a,20.75,10.25,u,g,q,v,0.71,FALSE,FALSE,02,FALSE,g,00049,0,TRUE
b,36.33,2.125,y,p,w,v,0.085,FALSE,FALSE,01,FALSE,g,00050,1187,TRUE
a,35.42,12,u,g,q,h,14,FALSE,FALSE,08,FALSE,g,00000,6590,TRUE
b,28.67,9.335,u,g,q,h,5.665,FALSE,FALSE,06,FALSE,g,00381,168,TRUE
b,35.17,2.5,u,g,k,v,4.5,FALSE,FALSE,07,FALSE,g,00150,1270,TRUE
b,39.50,4.25,u,g,c,bb,6.5,FALSE,FALSE,16,FALSE,g,00117,1210,TRUE
b,39.33,5.875,u,g,cc,h,10,FALSE,FALSE,14,FALSE,g,00399,0,TRUE
b,24.33,6.625,y,p,d,v,5.5,FALSE,FALSE,0,FALSE,s,00100,0,TRUE
b,60.08,14.5,u,g,ff,ff,18,FALSE,FALSE,15,FALSE,g,00000,1000,TRUE
b,23.08,11.5,u,g,i,v,3.5,FALSE,FALSE,09,FALSE,g,00056,742,TRUE
b,26.67,2.71,y,p,cc,v,5.25,FALSE,FALSE,01,FALSE,g,00211,0,TRUE
b,48.17,3.5,u,g,aa,v,3.5,FALSE,FALSE,0,FALSE,s,00230,0,TRUE
b,41.17,4.04,u,g,cc,h,7,FALSE,FALSE,08,FALSE,g,00320,0,TRUE
b,55.92,11.5,u,g,ff,ff,5,FALSE,FALSE,05,FALSE,g,00000,8851,TRUE
b,53.92,9.625,u,g,e,v,8.665,FALSE,FALSE,05,FALSE,g,00000,0,TRUE
a,18.92,9.25,y,p,c,v,1,FALSE,FALSE,04,FALSE,g,00080,500,TRUE
a,50.08,12.54,u,g,aa,v,2.29,FALSE,FALSE,03,FALSE,g,00156,0,TRUE
b,65.42,11,u,g,e,z,20,FALSE,FALSE,07,FALSE,g,00022,0,TRUE
a,17.58,9,u,g,aa,v,1.375,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
a,18.83,9.54,u,g,aa,v,0.085,FALSE,FALSE,0,FALSE,g,00100,0,TRUE
a,37.75,5.5,u,g,q,v,0.125,FALSE,FALSE,0,FALSE,g,00228,0,TRUE
b,23.25,4,u,g,c,bb,0.25,FALSE,FALSE,0,FALSE,g,00160,0,TRUE
b,18.08,5.5,u,g,k,v,0.5,FALSE,FALSE,0,FALSE,g,00080,0,TRUE
a,22.50,8.46,y,p,x,v,2.46,FALSE,FALSE,0,FALSE,g,00164,0,TRUE
b,19.67,0.375,u,g,q,v,2,FALSE,FALSE,02,FALSE,g,00080,0,TRUE
b,22.08,11,u,g,cc,v,0.665,FALSE,FALSE,0,FALSE,g,00100,0,TRUE
b,25.17,3.5,u,g,cc,v,0.625,FALSE,FALSE,07,FALSE,g,00000,7059,TRUE
a,47.42,3,u,g,x,v,13.875,FALSE,FALSE,02,FALSE,g,00519,1704,TRUE
b,33.50,1.75,u,g,x,h,4.5,FALSE,FALSE,04,FALSE,g,00253,857,TRUE
b,27.67,13.75,u,g,w,v,5.75,FALSE,FALSE,0,FALSE,g,00487,500,TRUE
a,58.42,21,u,g,i,bb,10,FALSE,FALSE,13,FALSE,g,00000,6700,TRUE
a,20.67,1.835,u,g,q,v,2.085,FALSE,FALSE,05,FALSE,g,00220,2503,TRUE
b,26.17,0.25,u,g,i,bb,0,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,21.33,7.5,u,g,aa,v,1.415,FALSE,FALSE,01,FALSE,g,00080,9800,TRUE
b,42.83,4.625,u,g,q,v,4.58,FALSE,FALSE,0,FALSE,s,00000,0,TRUE
b,38.17,10.125,u,g,x,v,2.5,FALSE,FALSE,06,FALSE,g,00520,196,TRUE
b,20.50,10,y,p,c,v,2.5,FALSE,FALSE,0,FALSE,s,00040,0,TRUE
b,48.25,25.085,u,g,w,v,1.75,FALSE,FALSE,03,FALSE,g,00120,14,TRUE
b,28.33,5,u,g,w,v,11,FALSE,FALSE,0,FALSE,g,00070,0,TRUE
b,18.50,2,u,g,i,v,1.5,FALSE,FALSE,02,FALSE,g,00120,300,TRUE
b,33.17,3.04,y,p,c,h,2.04,FALSE,FALSE,01,FALSE,g,00180,18027,TRUE
b,45.00,8.5,u,g,cc,h,14,FALSE,FALSE,01,FALSE,g,00088,2000,TRUE
a,19.67,0.21,u,g,q,h,0.29,FALSE,FALSE,11,FALSE,g,00080,99,TRUE
b,21.83,11,u,g,x,v,0.29,FALSE,FALSE,06,FALSE,g,00121,0,TRUE
b,40.25,21.5,u,g,e,z,20,FALSE,FALSE,11,FALSE,g,00000,1200,TRUE
b,41.42,5,u,g,q,h,5,FALSE,FALSE,06,FALSE,g,00470,0,TRUE
a,17.83,11,u,g,x,h,1,FALSE,FALSE,11,FALSE,g,00000,3000,TRUE
b,23.17,11.125,u,g,x,h,0.46,FALSE,FALSE,01,FALSE,g,00100,0,TRUE
b,18.17,10.25,u,g,c,h,1.085,FALSE,FALSE,0,FALSE,g,00320,13,FALSE
b,20.00,11.045,u,g,c,v,2,FALSE,FALSE,0,FALSE,g,00136,0,FALSE
b,20.00,0,u,g,d,v,0.5,FALSE,FALSE,0,FALSE,g,00144,0,FALSE
a,20.75,9.54,u,g,i,v,0.04,FALSE,FALSE,0,FALSE,g,00200,1000,FALSE
a,24.50,1.75,y,p,c,v,0.165,FALSE,FALSE,0,FALSE,g,00132,0,FALSE
b,32.75,2.335,u,g,d,h,5.75,FALSE,FALSE,0,FALSE,g,00292,0,FALSE
a,52.17,0,y,p,ff,ff,0,FALSE,FALSE,0,FALSE,g,00000,0,FALSE
a,48.17,1.335,u,g,i,o,0.335,FALSE,FALSE,0,FALSE,g,00000,120,FALSE
a,20.42,10.5,y,p,x,h,0,FALSE,FALSE,0,FALSE,g,00154,32,FALSE
b,50.75,0.585,u,g,ff,ff,0,FALSE,FALSE,0,FALSE,g,00145,0,FALSE
b,17.08,0.085,y,p,c,v,0.04,FALSE,FALSE,0,FALSE,g,00140,722,FALSE
b,18.33,1.21,y,p,e,dd,0,FALSE,FALSE,0,FALSE,g,00100,0,FALSE
a,32.00,6,u,g,d,v,1.25,FALSE,FALSE,0,FALSE,g,00272,0,FALSE
b,59.67,1.54,u,g,q,v,0.125,FALSE,FALSE,0,FALSE,g,00260,0,TRUE
b,18.00,0.165,u,g,q,n,0.21,FALSE,FALSE,0,FALSE,g,00200,40,TRUE
b,32.33,2.5,u,g,c,v,1.25,FALSE,FALSE,0,FALSE,g,00280,0,FALSE
b,18.08,6.75,y,p,m,v,0.04,FALSE,FALSE,0,FALSE,g,00140,0,FALSE
b,38.25,10.125,y,p,k,v,0.125,FALSE,FALSE,0,FALSE,g,00160,0,FALSE
b,30.67,2.5,u,g,cc,h,2.25,FALSE,FALSE,0,FALSE,s,00340,0,FALSE
b,18.58,5.71,u,g,d,v,0.54,FALSE,FALSE,0,FALSE,g,00120,0,FALSE
a,19.17,5.415,u,g,i,h,0.29,FALSE,FALSE,0,FALSE,g,00080,484,FALSE
a,18.17,10,y,p,q,h,0.165,FALSE,FALSE,0,FALSE,g,00340,0,FALSE
b,16.25,0.835,u,g,m,v,0.085,FALSE,FALSE,0,FALSE,s,00200,0,FALSE
b,21.17,0.875,y,p,c,h,0.25,FALSE,FALSE,0,FALSE,g,00280,204,FALSE
b,23.92,0.585,y,p,cc,h,0.125,FALSE,FALSE,0,FALSE,g,00240,1,FALSE
b,17.67,4.46,u,g,c,v,0.25,FALSE,FALSE,0,FALSE,s,00080,0,FALSE
a,16.50,1.25,u,g,q,v,0.25,FALSE,FALSE,01,FALSE,g,00108,98,FALSE
b,23.25,12.625,u,g,c,v,0.125,FALSE,FALSE,02,FALSE,g,00000,5552,FALSE
b,17.58,10,u,g,w,h,0.165,FALSE,FALSE,01,FALSE,g,00120,1,FALSE
